EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PI_13C,POC,PO_13C,PIC_POCr,DIC,DI_13C,ALK,DOC,CHL,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP6,Dark,Control,6-CON-D0-2,0,4.774600723,-8.255001034,222.1351119,-21.67362661,0.021494129,2095.567717,83.98111348,2237.89,66.64186644,0.79,16,0,7.846,14.3,660.6,662.9255048,1959.7,111.9,24,52.6,1.9,0,0,13.612,1.775510841,674.8,0.017,0.570786365,29.64694887,29.75303903,6.520794435,3.469523122,1.07424814,2.205160261,0.123477517,0,0,0.200044302,0.093190038,30.28573193
EXP6,Dark,Control,6-CON-D0-3,0,4.083226597,-8.237336434,241.3776391,-21.93407458,0.016916342,2096.355199,74.41899736,2240.88,65.41850947,0.67,16,0,7.851,14.1,652.6,654.9205224,1959.4,113.2,23.7,53.2,1.9,0,0,13.541,1.796137866,666.6,0.016,0.51692746,26.84841341,26.94448914,5.24192201,3.112948248,0.972246276,2.096224773,0.121254839,0,0,0.170505273,0.090951287,27.42689829
EXP6,Dark,CaO,6-CaO-D0-1,0,6.225328166,-2.862974794,251.2886231,-25.79892297,0.024773617,2062.042019,78.61500472,3174.53,68.45224691,0.48,16,0,8.913,1.2,35.7,35.78179908,1236.2,824.6,1.3,267.4,21.8,0,0,7.496,13.77185583,36.4,0.02,0.05517227,1.972361161,1.979419159,17.78086039,9.841929475,0.071546802,6.823968926,1.491974913,0,0,0.042296139,0.583662203,2.014858313
EXP6,Dark,CaO,6-CaO-D0-2,0,5.069762709,-4.650424406,176.4155481,-21.30680741,0.028737618,2046.92285,81.36261182,3163.38,63.78893223,0.45,16,0,8.92,1.2,34.6,34.72337783,1219.2,826.5,1.3,269,22.2,0,0,7.508,13.80144421,35.3,0.018,0.048762437,1.554675192,1.560238521,9.014136114,7.753052715,0.056333602,6.520271071,1.450233955,0,0,0.038605432,0.577482802,1.588172743
EXP6,Dark,CaO,6-CaO-D0-3,0,5.638866073,-9.026282443,177.162777,-22.53712942,0.031828729,2049.293296,84.4618901,3151.97,65.59226842,0.52,16,0,8.91,1.2,35.8,35.94290609,1232.3,815.7,1.3,266.6,21.7,0,0,7.479,13.62368918,36.6,0.018,0.050027684,1.622744438,1.62855135,9.657645843,7.590477459,0.058803222,6.510510014,1.41777366,0,0,0.037592443,0.569756139,1.657708632
EXP6,Dark,Control,6-DRK-D2-CONTROL,2,3.851060806,-6.005963237,134.7461941,-23.12191636,0.028580108,2090.210277,69.88387076,2229.8,60.84442236,0.65,16,0,7.84,14.5,668.5,670.8636182,1955.8,110.1,24.3,52,1.8,0,0,13.687,1.746950345,682.9,0.015,0.507715698,26.47384709,26.56858246,5.187689698,2.855511129,0.958389947,1.997084968,0.116528544,0,0,0.163472281,0.087102112,27.04426144
EXP6,Dark,Control,6-DRK-D4-CONTROL,4,2.958543158,-1.195529676,124.2704561,-24.00646989,0.023807293,2101.28164,71.78169641,2236.42,22.37559842,0.49,16,0,7.828,14.9,691.6,694.1128909,1968.4,107.8,25.1,50.7,1.8,0,0,13.871,1.710456378,706.5,0.046,1.573052308,81.99210925,82.28551401,24.12921916,9.879560411,2.97917346,4.878775867,0.211644349,0,0,0.649860745,0.168591042,83.75873862
EXP6,Dark,CaO,6-DRK-D2-CaO,2,39.42375644,461.7712904,247.2459502,21.89515045,0.159451576,2049.617036,95.43118332,3158.36,60.14703845,0.84,16,0,8.914,1.2,35.3,35.46869895,1227.8,820.6,1.3,267.6,21.9,0,0,7.491,13.70685012,36.1,0.021,0.058151904,2.066170815,2.073564506,17.77542939,13.31856553,0.074966362,6.998080587,1.531893699,0,0,0.047843029,0.597119467,2.110689221
EXP6,Dark,CaO,6-DRK-D4-CaO,4,6.630929888,52.70855526,168.8467904,-20.10475715,0.039271874,2070.73608,75.35835038,3204.55,62.84499845,0.38,16,0,8.926,1.2,34.4,34.52034002,1227.2,842.3,1.3,270.3,22.5,0,0,7.539,14.06595572,35.1,0.044,0.119173346,5.305024498,5.324008269,69.08836419,31.84742546,0.192793764,11.38279731,2.532327364,0,0,0.106651445,0.755376475,5.419328327
EXP7,Dark,Control,7-CON-D0-1,0,109.4686382,-7.066565077,173.1562052,-19.73787495,0.632195872,2120.983774,108.6427128,2230.95,30.28632709,0.09,16,0,7.761,17.3,817.6,820.5021979,1997.4,93.9,29.7,44.3,1.5,0,0,14.807,1.48990588,835.2,0.034,1.357120328,70.72181933,70.97489391,15.1778155,6.493633409,2.568628994,3.286613756,0.145172524,0,0,0.467415923,0.118547597,72.24561527
EXP7,Dark,Control,7-CON-D0-2,0,143.8871057,-7.163048823,218.2918434,-17.89329123,0.65915017,2129.531945,109.7386801,NA,27.9758026,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,969.5056448,422.6488113,424.1612394,1.297050247,7.65E-05,13.44050467,0.000916838,3.88E-05,0,0,0.000640375,1.44E-06,431.7553437
EXP7,Dark,Control,7-CON-D0-3,0,46.65171417,-7.852925143,122.1311689,-17.99036266,0.381980412,2122.386699,103.666195,2228.88,29.12402057,0.12,16,0,7.752,17.7,836.6,839.5946463,2000,92,30.4,43.4,1.5,0,0,14.933,1.45975869,854.6,0.036,1.448164146,75.52029737,75.79054307,15.83438734,6.666527533,2.743104748,3.359374492,0.146410265,0,0,0.486244076,0.120103526,77.14748292
EXP7,Dark,CaO,7-CaO-D0-1,0,46.97941419,2.328488145,158.2972778,-22.91252469,0.296779672,2079.586496,112.617372,2783.38,30.00455581,0.07,16,0,8.598,2.5,93.6,93.885431,1569.6,506.6,3.4,190,10.6,0,0,7.344,8.247348164,95.6,0.022,0.129676161,6.08187254,6.103636224,24.50242938,11.52512902,0.22074727,6.636845786,0.772731097,0,0,0.043487259,0.3889447,6.212914597
EXP7,Dark,CaO,7-CaO-D0-2,0,53.95311255,-9.378044168,293.460396,-14.73149371,0.183851427,2090.770302,112.990345,2760.16,28.33506098,0.3,16,0,8.566,2.7,103.1,103.4643809,1605.8,481.2,3.7,182.1,9.8,0,0,7.419,7.834180386,105.3,0.02,0.125727137,5.809833387,5.830623592,18.93907941,9.418585103,0.21076622,6.072991387,0.683341362,0,0,0.040790086,0.359369235,5.935013997
EXP7,Dark,CaO,7-CaO-D0-3,0,144.8294523,-7.562299651,50.09957899,-45.37932972,2.890831724,2085.230541,119.4979232,2755.09,28.47829472,0.07,16,0,8.567,2.7,102.4,102.7431778,1600.3,481.2,3.7,182.5,9.8,0,0,7.412,7.834101242,104.6,0.021,0.13328831,6.263416658,6.285829989,21.97845941,10.54165193,0.227291498,6.330721786,0.705369588,0,0,0.045955055,0.366664221,6.398370325
EXP7,Dark,Control,7-DRK-D2-CONTROL,2,88.73320896,-5.591905958,238.4641199,-20.71021192,0.372102977,2119.727583,103.3004893,2241.79,66.8531949,0.1,16,0,7.793,16.1,757.8,760.4883269,1991.5,100.7,27.5,47.3,1.7,0,0,14.377,1.597801088,774.1,0.037,1.370425157,71.18677229,71.44151069,16.81541125,7.552711998,2.585856744,3.750116858,0.165544268,0,0,0.512720958,0.13482399,72.72058627
